id,metric_name,human_goal,investment_priority,risk_group,type,poc_analytics,goal_tracking,definition,definition_status,target,tshirt_lift,operationalization_status,m360_link,added_to_scorecard,v3_priority_id,v3_goal_id,v3_goal_title,data_risk_priority_id,data_risk_priority_name,nsm_rollup,latest_date,latest_value,latest_status,latest_source
align_x_meta_response_plans_including_ppg_goals_in_time_to_m_11,"Align x-Meta response plans, including PPG goals, in time to meet monetization obligations","Drive AI-native regulatory readiness at scale -- Maintain rapid, high-quality regulatory responses & preparation w/ AI-accelerated context & position development",1. Meet our obligation response requirements,Monetization Risk,Ship Goal,Liz Keneski,Goal,,Finalized,,,,,,P1,1A,Land Aligned Response Plans and mature inbound response capabilities,,,,,,,
first_attempt_dataset_success_rate_12,First Attempt Dataset Success Rate,MSL Researchers have their datasets successfully mitigated end-to-end on the first attempt,1. Meet our obligation response requirements,MTC,Existing,Swetha Singiri,Goal,,Finalized,,,Finalized,,,P1,1B,Mature efficacy of meeting ongoing obligations,,,,,,,
sev_proactive_rate_13,SEV Proactive Rate,Model Training SEVs are detected proactively to minimize unexpected friction for MSL Researchers,1. Meet our obligation response requirements,MTC,Existing,Kevin Bauer,Goal,,Finalized,,,Finalized,,,P1,1B,Mature efficacy of meeting ongoing obligations,,,,,,,
checkpoint_compliance_coverage_rate_14,Checkpoint Compliance Coverage Rate,AI at Meta production traffic is served by a verifiably compliant checkpoint,1. Meet our obligation response requirements,MTC,New,Ning Lok,Goal,,Blocked,,,Blocked,,,P1,1B,Mature efficacy of meeting ongoing obligations,,,,,,,
svt_automation_deadline_met_15,SVT Automation Deadline Met,Our FTC cycle deadlines are met with no outstanding compliance gaps,1. Meet our obligation response requirements,GRC Product Platform,Ship Goal,Ashirbad Ghosh,Goal,,Finalized,,,Pending,,,P1,1B,Mature efficacy of meeting ongoing obligations,,,,,,,
automate_safeguard_verification_testing_svt_16,Automate Safeguard Verification & Testing (SVT),Safeguards are automatically tested on a rolling basis as they change,1. Meet our obligation response requirements,GRC Product Platform,Ship Goal,Avi Varadarajulu,Goal,,Finalized,,,Pending,,,P1,1B,Mature efficacy of meeting ongoing obligations,,,,,,,
reactive_risk_sev_prevalance_17,Reactive Risk SEV Prevalance,Actual risk to Meta are dramatically reduced through our prevention and detection of SEVs before the risk is realized,1. Meet our obligation response requirements,GRC Product Platform,New,Shuaimin Kang,Goal,,Blocked,,,Blocked,,,P1,1B,Mature efficacy of meeting ongoing obligations,,,,,,,
auto_detection_rate_18,Auto Detection Rate,Auto-detect most Safeguard changes,1. Meet our obligation response requirements,GRC Product Platform,New,Shuaimin Kang,Goal,,Finalized,,,Finalized,,,P1,1B,Mature efficacy of meeting ongoing obligations,,,,,,,
adult_classifier_u18_teen_recall_19,Adult Classifier (U18) Teen recall,Teen prediction: Deliver step-function improvement in U18 age estimation accuracy,2. Achieve a step-change reduction in Youth Pressure,Youth,Existing,Conor Frailey,Goal,"Adulat Classifier (U18) Teen recall at xx% Precision for prioritized markets (P0 US*, P1 RoW**) for 18 boundary across FB and IG",Finalized,,,Pending,,Pending,P2,2A,"Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV",,,,,,,
ship_meta_ai_x_wa_adult_model_v2_20,Ship Meta AI x WA adult model V2,Teen prediction: Deliver step-function improvement in U18 age estimation accuracy,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Conor Frailey,Goal,Ship CBAP V2 model to Meta AI x WhatsApp achieving ≥50% adult recall (adult WA MetaAI MAU) @ 90% teen recall (teen WA MetaAI MAU),Finalized,,,Pending,,Pending,P2,2A,"Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV",,,,,,,
establish_u18_prediction_playbook_21,Establish U18 Prediction Playbook,Teen prediction: Deliver step-function improvement in U18 age estimation accuracy,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Conor Frailey,Goal,Establish 18 boundary prediction playbook for Meta AI Apps,Finalized,,,Pending,,Pending,P2,2A,"Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV",,,,,,,
develop_foa_u16_model_protoptye_22,Develop FoA U16 Model Protoptye,Minimum Age Detection (MADE): Expand proactive detection coverage and improve account review accuracy to meet regulatory commitments and enable SURF rollout,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Prastuti Singh,Goal,Establish measurement at U16/O16 boundary and develop U16/O16 model architecture/prototype,Finalized,,,Pending,,Pending,P2,2A,"Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV",,,,,,,
expand_proactive_deteciton_of_u13_23,Expand Proactive deteciton of U13,Minimum Age Detection (MADE): Expand proactive detection coverage and improve account review accuracy to meet regulatory commitments and enable SURF rollout,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Zoe Guo,Goal,"Expand proactive to all tier 1 signals for U13 + bio, posts, written for other age boundaries (guardrail on NVMI)",Finalized,,,Pending,,Pending,P2,2A,"Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV",,,,,,,
underage_proactive_and_reporting_detection_checkpoint_volume_24,Underage proactive and reporting detection + checkpoint volume,Minimum Age Detection (MADE): Expand proactive detection coverage and improve account review accuracy to meet regulatory commitments and enable SURF rollout,2. Achieve a step-change reduction in Youth Pressure,Youth,Existing,Zoe Guo,Goal,# of U13 accounts detected and checkpointed through proactive detection and through user reporting,Finalized,,,Pending,,Pending,P2,2A,"Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV",,,,,,,
u13_review_false_positive_rate_25,U13 Review False Positive Rate,Minimum Age Detection (MADE): Expand proactive detection coverage and improve account review accuracy to meet regulatory commitments and enable SURF rollout,2. Achieve a step-change reduction in Youth Pressure,Youth,Existing,Zoe Guo,Goal,"Out of accounts reviewed who did not represent as U13, what % of them were checkpointed",Finalized,,,Pending,,Pending,P2,2A,"Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV",,,,,,,
foa_u13_model_protoptye_26,FoA U13 Model Protoptye,Minimum Age Detection (MADE): Expand proactive detection coverage and improve account review accuracy to meet regulatory commitments and enable SURF rollout,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Conor Frailey,Goal,Deliver the measurement strategy and U13 model prototype for US to establish scalable detection,Finalized,,,Pending,,Pending,P2,2A,"Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV",,,,,,,
analytics_age_model_migration_27,Analytics Age Model migration,Age Analytics: Reliable topline analytics trends are used by FB/IG for US cross-app comparison,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Conor Frailey,Goal,"Migration from single age → age bands for FB/IG, with US data being served from new analytics model in October for H1 2027 goaling for apps",Finalized,,,Pending,,Pending,P2,2A,"Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV",,,,,,,
deploy_ready_for_app_store_age_laws_28,Deploy ready for App Store age laws,External Age Signals: Integrate with government mandated or platform provided age signals to strengthen multi-layered age assurance strategy,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Conor Frailey,Goal,Deploy ready for App Store age laws,Finalized,,,Pending,,Pending,P2,2A,"Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV",,,,,,,
digital_id_verification_29,Digital ID Verification,External Age Signals: Integrate with government mandated or platform provided age signals to strengthen multi-layered age assurance strategy,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Conor Frailey,Goal,"Integrate with government mandated digital IDs (France, Malaysia, Turkiye) and complete committed test with Ireland",Finalized,,,Pending,,Pending,P2,2A,"Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV",,,,,,,
day_0_14_20_age_assurance_30,Day 0-14/20 Age Assurance,AV Mandate Readiness: Deploy readiness for AV mandates while minimizing over-enforcement at new user registration,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Conor Frailey,Goal,"Enable new users age assurance via hardlink, softmatch, 3P signals; Resolve >xx% of new adult users as O18 for UK OSA (TBD other jurisdictions)",Finalized,,,Pending,,Pending,P2,2A,"Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV",,,,,,,
regulatory_acceptance_of_multi_layered_approach_31,Regulatory Acceptance of Multi-Layered Approach,"External Engagement: Increase acceptance of our multi-layered age assurance approach and promptly, efficiently, and accurately respond to RFIs",2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Conor Frailey,Goal,# of jurisdictions moving from Type 3 (AV Mandate) to Type 2 (Multi-layered),Finalized,,,Pending,,Pending,P2,2C,Reduce regulatory pressure by advocating effectively against social media bans and landing US federal legislation,,,,,,,
launch_fca_app_32,Launch FCA App,Teen Account/Supervision consistency across Meta: Expand Teen Account/Supervision further across FoA; launch standalone Family Center app beta to further drive power parent user/policymaker alignment,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Qifan Wang,Goal,Launch FCA Beta (iOS) with AI assistant with limited functionality to a closed cohort of parents and policymakers,Finalized,,,Pending,,Pending,P2,2B,Return to growth in Parental Alignment and continue reducing gap to YouTube,,,,,,,
ship_turn_conversational_level_cys_measurement_across_text_v_33,"Ship turn/ conversational-level CYS measurement across text, video, images, voice and associated performance bar aligned with MSL",AI Risk Measurement and Parent Alignment: Mature youth risk measurement and deliver safety  features to drive parent alignment.,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Wenjun Sun,Goal,,Finalized,,,Pending,,Pending,P2,2B,Return to growth in Parental Alignment and continue reducing gap to YouTube,,,,,,,
cys_online_vr_34,CYS Online VR,AI Risk Measurement and Parent Alignment: Mature youth risk measurement and deliver safety  features to drive parent alignment.,2. Achieve a step-change reduction in Youth Pressure,Youth,Existing,Wenjun Sun,Goal,Sustain a 13 + aligned content experience on Meta AI <> teen chats. (CYS Online VR < X%* new goal alignment),Finalized,,,Pending,,Pending,P2,2B,Return to growth in Parental Alignment and continue reducing gap to YouTube,,,,,,,
ship_ssi_alert_v2_35,Ship SSI Alert V2,AI Risk Measurement and Parent Alignment: Mature youth risk measurement and deliver safety  features to drive parent alignment.,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Taylor Brown,Goal,Ship user-level risk detection across multiple conversations for prioritized risk areas,Finalized,,,Pending,,Pending,P2,2B,Return to growth in Parental Alignment and continue reducing gap to YouTube,,,,,,,
launch_parental_alerts_on_new_high_sensitivity_topics_36,Launch Parental alerts on new high-sensitivity topics,AI Risk Measurement and Parent Alignment: Mature youth risk measurement and deliver safety  features to drive parent alignment.,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Platina Liu,Goal,Launch parental alerts to new high-sensitivity topics (sextortion on IG/FB/MSGR; SSI notif expansion on FB Search; SSI AI Chat FB/IG to ROW).,Finalized,,,Pending,,Pending,P2,2B,Return to growth in Parental Alignment and continue reducing gap to YouTube,,,,,,,
facebook_aapc_exposure_per_hour_37,Facebook AAPC Exposure per hour,Continue strengthening our baseline to sustain/expand safe and age appropriate experiences across FoA,2. Achieve a step-change reduction in Youth Pressure,Youth,Existing,Andreas Ferstad,Goal,Translation from Organic Violation Prevalence (based on AAPC policy) using average time spend per user,Finalized,,,Pending,,Pending,P2,2B,Return to growth in Parental Alignment and continue reducing gap to YouTube,,,,,,,
instagram_aapc_exposure_per_hour_38,Instagram AAPC Exposure per hour,Continue strengthening our baseline to sustain/expand safe and age appropriate experiences across FoA,2. Achieve a step-change reduction in Youth Pressure,Youth,Existing,Anita Mahinpei,Goal,Translation from Organic Violation Prevalence (based on AAPC policy) using average time spend per user,Finalized,,,Pending,,Pending,P2,2B,Return to growth in Parental Alignment and continue reducing gap to YouTube,,,,,,,
facebook_plp_18_39,Facebook PLP 18+ %,Continue strengthening our baseline to sustain/expand safe and age appropriate experiences across FoA,2. Achieve a step-change reduction in Youth Pressure,Youth,Existing,Andreas Ferstad,Goal,% of weighted sampled contenct rated by 60% of parents surveyd in Parent Labeling Program to be appropriate for 18+ audience only,Finalized,,,Pending,,Pending,P2,2B,Return to growth in Parental Alignment and continue reducing gap to YouTube,,,,,,,
instagram_plp_18_40,Instagram PLP 18+ %,Continue strengthening our baseline to sustain/expand safe and age appropriate experiences across FoA,2. Achieve a step-change reduction in Youth Pressure,Youth,Existing,Anita Mahinpei,Goal,% of weighted sampled contenct rated by 60% of parents surveyd in Parent Labeling Program to be appropriate for 18+ audience only,Finalized,,,Pending,,Pending,P2,2B,Return to growth in Parental Alignment and continue reducing gap to YouTube,,,,,,,
age_appropriate_content_2nd_line_of_defense_41,Age-appropriate Content 2nd Line of Defense,Continue strengthening our baseline to sustain/expand safe and age appropriate experiences across FoA,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Katrina Browne,Goal,"Full operational coverage of AAC LoD framework aligned across FB, IG, and AI",Finalized,,,Pending,,Pending,P2,2B,Return to growth in Parental Alignment and continue reducing gap to YouTube,,,,,,,
develop_repeatable_policy_and_product_playbook_42,Develop repeatable policy and product playbook,Reduce regulatory pressure by advocating effectively against social media bans and landing US federal legislation,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Tian Lan,Goal,Develop repeatable policy and product playbook for ongoing policy advocacy on social media bans and India DPDP and help define regulatory engagement strategy,Finalized,,,Pending,,Pending,P2,2C,Reduce regulatory pressure by advocating effectively against social media bans and landing US federal legislation,,,,,,,
product_support_for_policy_43,Product Support for Policy,Reduce regulatory pressure by advocating effectively against social media bans and landing US federal legislation,2. Achieve a step-change reduction in Youth Pressure,Youth,Ship Goal,Tian Lan,Goal,Product provides support for 100% of bills meeting trigger criteria (i.e. read those bills and provide input on risks & product advocacy strategy),Finalized,,,Pending,,Pending,P2,2C,Reduce regulatory pressure by advocating effectively against social media bans and landing US federal legislation,,,,,,,
support_tmh_negotiations_44,Support TMH Negotiations,"Support TMH response: Provide Legal with support for the Teen Mental Health Litigation, at their request, to allow the company to put forward its defense and consider potential settlement options.",2. Achieve a step-change reduction in Youth Pressure,Youth,Existing,Jim Liu,Goal,Provide support for TMH litigation on 100% of requests,Finalized,,,Pending,,Pending,P2,2D,Drive toward resolution of key TMH matters on terms consistent with principles,,,,,,,
response_plan_ready_for_new_regulations_45,Response Plan ready for new regulations,Comply with new laws especially high risk regulations,1. Meet our obligation response requirements,Youth,Ship Goal,Taylor Orner,Goal,Deliver aligned Response Plans for 100% of Regulations with enforcement dates in Q3-Q1 2027; achieve deploy-ready status for 100% Regulations with enforcement dates in H2,Finalized,,,Pending,,Pending,P1,1A,Land Aligned Response Plans and mature inbound response capabilities,,,,,,,
deploy_ready_for_new_regulations_46,Deploy ready for new regulations,Comply with new laws especially high risk regulations,1. Meet our obligation response requirements,Youth,Ship Goal,Taylor Orner,Goal,Deliver aligned Response Plans for 100% of Regulations with enforcement dates in Q3-Q1 2027; achieve deploy-ready status for 100% Regulations with enforcement dates in H2,Finalized,,,Pending,,Pending,P1,1A,Land Aligned Response Plans and mature inbound response capabilities,,,,,,,
response_plan_efficiency_47,Response plan efficiency,Reduce cost to compliance through automation and platformization.,1. Meet our obligation response requirements,Youth,Ship Goal,Julia van Hoogstraten,Goal,"Ship advocacy agent and laws automation (gap assessment, response plan, implementation/build) while meeting  quality metric bar",Finalized,,,Pending,,Pending,P1,1B,Mature efficacy of meeting ongoing obligations,,,,,,,
deployment_efficiecy_48,Deployment Efficiecy,Reduce cost to compliance through automation and platformization.,1. Meet our obligation response requirements,Youth,New,Qifan Wang,Goal,x% of jurisdictions with a Q4 response plan ready date that are deploy ready within 2 weeks,Finalized,,,Pending,,Pending,P1,1B,Mature efficacy of meeting ongoing obligations,,,,,,,
youth_area_maturity_49,Youth Area Maturity,Mature Risk Area: Every Youth risk area is mature and self-sufficient with routine work automated,1. Meet our obligation response requirements,Youth,Ship Goal,Julia van Hoogstraten,Goal,"Every Youth Risk Area Operates at a Mature, Self-Sufficient Quality Bar:  7/7 Youth Risk Areas achieving core foundational and operational foundational stage; 4/7 in intermediate stage; 1/7 in advance",Finalized,,,Pending,,Pending,P1,1B,Mature efficacy of meeting ongoing obligations,,,,,,,
idp_maintenance_efficiency_50,IDP Maintenance efficiency,Mature Risk Area: Every Youth risk area is mature and self-sufficient with routine work automated,1. Meet our obligation response requirements,Youth,Ship Goal,Julia van Hoogstraten,Goal,Lower the cost of IDP maintenance through automation: ship IDP update automation; develop continuous eval pla,Finalized,,,Pending,,Pending,P1,1B,Mature efficacy of meeting ongoing obligations,,,,,,,
ig_youth_risk_review_maturity_51,IG Youth Risk review maturity,Mature Risk Area: Every Youth risk area is mature and self-sufficient with routine work automated,1. Meet our obligation response requirements,Youth,Ship Goal,Julia van Hoogstraten,Goal,Graduate IG to mature risk review participants,Finalized,,,Pending,,Pending,P1,1B,Mature efficacy of meeting ongoing obligations,,,,,,,
tbc_see_comment_52,TBC - see comment,Unblock priority AI roadmap initiatives and make cross-org strategic decisions to unlock or protect multiple AI roadmap initiatives,3. Unblock AI launches with informed Risk trade-off,AI Risk,,Zef RosnBrick,,,,,,,,,P3,3A,Unblock Priority AI Roadmap Initiatives (white-glove support),,,,,,,
ai_launch_decision_speed_air_white_glove_product_critical_de_53,AI Launch - Decision Speed - % AIR White-Glove Product Critical Decisions within SLA,Risk Org Priority #3: Unblock AI launches with informed Risk trade-offs,3. Unblock AI launches with informed Risk trade-off,AI Risk,Ship Goal,Jiaqi Guo,Goal,"Ship the metric (including definition, attribution/hotspot, and dashboard) of AI Launch Decision Speed metric",Pending,,,Pending,,Pending,P3,3B,Deliver timely well-calibrated AIR decisions,,,,,,,
ai_launch_decision_risk_trade_off_air_l1_decisions_with_high_54,AI Launch - Decision Risk Trade-Off: % AIR L1+ Decisions with high (residual) risk,Risk Org Priority #3: Unblock AI launches with informed Risk trade-offs,3. Unblock AI launches with informed Risk trade-off,AI Risk,Ship Goal,"Melody (Interim), Ian (Interim)",,"Ship the metric (including definition, attribution/hotspot, and dashboard) of % AIR L1+ Decisions with high (residual) risk.",Pending,,,Pending,,Pending,P3,3B,Deliver timely well-calibrated AIR decisions,,,,,,,
accelerate_the_move_to_ai_native_requirements_58,Accelerate the move to AI-native Requirements,"2.1 Convert Risk Requirements into machine-readable, AI-native form",4. Transform our processes for AI,User Risk,Ship Goal,Alice Berthaux,Goal,,,,,,,,P4,4B,Ship AI-native requirements across all Risk Areas,,,,,,,
90_of_t_c_requirements_covered_by_self_evidencing_controls_59,90% of T&C requirements covered by self-evidencing controls,"2.2 Achieve broad coverage by automated, self-evidencing controls and risk identification",4. Transform our processes for AI,User Risk,Existing,Liz Keneski,Goal,[T&C Controls] # of requirements covered by self-evidencing controls,Pending,,,Pending,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,,,,,,,
of_reviews_that_would_be_minimal_but_for_t_c_requirements_60,% of reviews that would be “minimal” but for T&C requirements,"2.2 Achieve broad coverage by automated, self-evidencing controls and risk identification",4. Transform our processes for AI,User Risk,Existing,Alice Berthaux,Tracking,[T&C Controls] % of reviews that would be “minimal” but for T&C requirements,Pending,,,Pending,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,,,,,,,
t_c_forest_rollout_to_100_61,T&C Forest rollout to 100%,"2.2 Achieve broad coverage by automated, self-evidencing controls and risk identification",4. Transform our processes for AI,User Risk,Existing,Barnaby Cooper,Goal,[T&C Controls],Pending,,,Pending,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,,,,,,,
decrease_external_vendor_spending_by_transitioning_news_labe_62,Decrease external vendor spending by transitioning News labelling to AI,2.3 Run Risk Review and Compliance Operations through Agentic Workflows with Continuous Evals,4. Transform our processes for AI,User Risk,New,Mike Derksen,Goal,[News] % entities reviewed by humans; $/entity; $ savings annualised,,,,,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
90_of_l1_escalation_risk_options_labelled_63,90% of L1+ escalation risk options labelled,2.3 Run Risk Review and Compliance Operations through Agentic Workflows with Continuous Evals,4. Transform our processes for AI,User Risk,New,Barnaby Cooper,Goal,[T&C Decisions] > 90% of L1+ High Touch escalation risk options labelled in ground truth,,,,,,,P4,4A,Scale Risk Review with high quality across all Areas,,,,,,,
ship_critical_partner_commitments_64,Ship critical partner commitments,1.3 Ship the H2 Critical Path Deliverables the business depends on,4. Transform our processes for AI,User Risk,Ship Goal,Alice Berthaux,Goal,"[T&C Controls] Ship: E2E Threads Cookies, AI 1PD CIP migration, AI PJ gating",Pending,,,Pending,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,,,,,,,
eng_days_per_month_for_these_activities_65,# eng days per month for these activities,"Reduce time required to maintain T&C Controls, Safeguards, and deliver non-negotiable partner requests",4. Transform our processes for AI,User Risk,Existing,TBD,Goal,[T&C Controls],,,,,,,P4,4C,Harden controls and scale platform to keep pace with agent growth,,,,,,,
controls_agentic_ready_66,% controls agentic-ready,"Manage risks globally with self-evidencing, self-adopting controls rather than bespoke case-by-case.",4. Transform our processes for AI,Data Risk,New,"TBD (Baris Cem Sal, interim)",Goal,Ship definition by end of Q3. Two aspects: control still passes when the primary actor is an AI agent; requirements covered by agentic compliance,Pending,,,Pending,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,P1,"Meet all our Risks with Robust, Global Controls",,,,,
cost_of_compliance_direct_costs_usd_67,"Cost-of-compliance (Direct costs, USD)",Make controls cheaper + more sustainable; make pod operations + reporting cheap and easy.,4. Transform our processes for AI,Data Risk,Existing,"TBD (Baris Cem Sal, interim)",Goal,"Direct cost of compliance in USD: FTEs, CWs, Infra, OPEX, Tokens",Pending,,,Pending,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,P3,Make a Step Change in Data Risk Internal Efficiency,NSM7,,,,
minimal_lamas_dr_filtered_68,%,Enable AI Risk Review so the company can move fast on novel-risk products and requirements without global controls,4. Transform our processes for AI,Data Risk,New,Sebastian Poehlmann,Goal,Ship a DR-filtered view of the org,Pending,,,Pending,,Pending,P4,4A,Scale Risk Review with high quality across all Areas,P4,Enable the AI Transformation of Risk Review,NSM4.1,,,,
unnecessary_sin_rate_tbd_69,Unnecessary SIN rate [TBD],Enable AI Risk Review so the company can move fast on novel-risk products and requirements without global controls,4. Transform our processes for AI,Data Risk,New,Scott Murani,Goal,Ship definition by end of Q3: a measure of unnecessary / regrettable SIN,Pending,,,Pending,,Pending,P4,4A,Scale Risk Review with high quality across all Areas,P4,Enable the AI Transformation of Risk Review,,,,,
pg_compliance_cost_ey_70,PG compliance cost ($/EY),Reduce Privacy Wave and other Federated compliance costs.,4. Transform our processes for AI,Data Risk,Existing,"TBD (Baris Cem Sal, interim)",Tracking,Indirect compliance cost ($),Pending,,,Pending,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,P5,"Improve Company Velocity, Value, Efficiency",NSM7,,,,
created_company_value_e_g_irev_71,Created company value (e.g. iRev),Create company value where possible and appropriate.,4. Transform our processes for AI,Data Risk,Existing,"TBD (Baris Cem Sal, interim)",Tracking,Company value created by DR work (e.g. iRev; storage savings via retention optimization),Pending,,,Pending,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,P5,"Improve Company Velocity, Value, Efficiency",,,,,
mature_controls_risk_solution_progression_metrics_72,Mature Controls: risk solution progression metrics,Mature risk solutions and controls,4. Transform our processes for AI,AI Risk,New,Kevin Bauer,Tracking,Ship AIR risk solution progression metrics.,Pending,,,Pending,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,,,,,,,
mature_controls_ai_risk_control_effectiveness_of_requirement_73,Mature Controls - AI Risk Control Effectiveness: % of Requirement Instances that are Covered by an Effective Control,Mature risk solutions and controls,4. Transform our processes for AI,AI Risk,New,Kevin Bauer,Goal,Ship AI Risk Requirements Compliance: % of Requirement Instances that are Covered by an Effective Control,Pending,,,Pending,,Pending,P4,4C,Harden controls and scale platform to keep pace with agent growth,,,,,,,
