Priority,Goal,Goal_Metric_Clause,Is_Placeholder,Has_Numeric_Goal,Target,Current_Value,Confidence,Sheet_Mapped_Metric_Name,Sheet_Target,Sheet_POC,Owner,Risk_Group_Owner,Reason
P1 - Meet our obligations,1B - Mature efficacy of meeting ongoing obligations,Ensure comprehensive control inventory + 100% control testing for Frauds & Scams,NO,YES,+ 100%,,MEDIUM,% Requirements effective (green+yellow),,Iva Marinkovic Bugarcic,Susan Cooper / Arash Nikkar / Jackie Zajac,RCP / GRC Data Risk User Risk / Area Response Platform,"Score 2, matched keywords ['control', 'control'], goal_id 1B candidate 15"
P1 - Meet our obligations,1B - Mature efficacy of meeting ongoing obligations,Safeguard Automation 75% auto-detected [MAP-517],NO,YES,75%,,MEDIUM,SVT Automation Deadline Met,,Ashirbad Ghosh,Susan Cooper / Arash Nikkar / Jackie Zajac,RCP / GRC Data Risk User Risk / Area Response Platform,"Score 2, matched keywords ['automation', 'auto'], goal_id 1B candidate 15"
P1 - Meet our obligations,1B - Mature efficacy of meeting ongoing obligations,Safeguard Automation auto-tested as they change [MAP-511],NO,NO,,,,,,,Susan Cooper / Arash Nikkar / Jackie Zajac,RCP / GRC Data Risk User Risk / Area Response Platform,
P1 - Meet our obligations,1B - Mature efficacy of meeting ongoing obligations,"Automate 65% GRC specialized Risk Assessments, decreasing delivery time 70%",NO,YES,65% | 70%,,MEDIUM,Youth Area Maturity,,Julia van Hoogstraten,Susan Cooper / Arash Nikkar / Jackie Zajac,RCP / GRC Data Risk User Risk / Area Response Platform,"Score 2, matched keywords ['automate', 'risk'], goal_id 1B candidate 15"
P1 - Meet our obligations,1B - Mature efficacy of meeting ongoing obligations,Reduce time to onboard & test controls 50%,NO,YES,50%,,LOW,% Requirements effective (green+yellow),,Iva Marinkovic Bugarcic,Susan Cooper / Arash Nikkar / Jackie Zajac,RCP / GRC Data Risk User Risk / Area Response Platform,"Score 1, matched keywords ['controls'], goal_id 1B candidate 15"
P1 - Meet our obligations,1B - Mature efficacy of meeting ongoing obligations,"FTC cycle deadlines met no gaps, reduce Assessor Response time 50%",NO,YES,50%,,HIGH,SVT Automation Deadline Met,,Ashirbad Ghosh,Susan Cooper / Arash Nikkar / Jackie Zajac,RCP / GRC Data Risk User Risk / Area Response Platform,"Score 5, matched keywords ['ftc', 'cycle', 'deadlines', 'met', 'gaps'], goal_id 1B candidate 15"
P1 - Meet our obligations,1B - Mature efficacy of meeting ongoing obligations,100% obligations have status/milestones tracked via central tool,NO,YES,100%,,LOW,First Attempt Dataset Success Rate,,Swetha Singiri,Susan Cooper / Arash Nikkar / Jackie Zajac,RCP / GRC Data Risk User Risk / Area Response Platform,"Score 1, matched keywords ['have'], goal_id 1B candidate 15"
P1 - Meet our obligations,1C - Improve effectiveness and risk mitigation of high-harm Security/Integrity areas,Integrate integrity E2E into Risk for 1 use case (CSAM),NO,NO,,,,,,,Arash Nikkar,Various,
P2 - Achieve a step-change reduction in Youth pressure,"2A - Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV mandates",M1: U18 FB/IG – Deliver +xx% teen recall at xx% teen precision prioritized markets,YES,YES,+xx% @ xx%,,HIGH,Adult Classifier (U18) Teen recall,,Conor Frailey,Allison Hartnett,Youth,"Score 4, matched keywords ['u18', 'teen', 'recall', 'teen'], goal_id 2A candidate 12"
P2 - Achieve a step-change reduction in Youth pressure,"2A - Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV mandates",M2: U18 MetaAI on WA – ≥50% adult recall @90% teen recall via CBAP V2,NO,YES,≥50% | 90%,,HIGH,Adult Classifier (U18) Teen recall,,Conor Frailey,Allison Hartnett,Youth,"Score 5, matched keywords ['u18', 'adult', 'recall', 'teen', 'recall'], goal_id 2A candidate 12"
P2 - Achieve a step-change reduction in Youth pressure,"2A - Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV mandates",M3: U18 MetaAI – Establish 18 boundary prediction playbook for Meta AI Apps,NO,NO,,,,,,,Allison Hartnett,Youth,
P2 - Achieve a step-change reduction in Youth pressure,"2A - Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV mandates",M4: U16 FB/IG – Establish measurement + prototype U16 boundary,NO,NO,,,,,,,Allison Hartnett,Youth,
P2 - Achieve a step-change reduction in Youth pressure,"2A - Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV mandates",M5: U13 FB/IG – Establish measurement + prototype U13 US,NO,NO,,,,,,,Allison Hartnett,Youth,
P2 - Achieve a step-change reduction in Youth pressure,"2A - Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV mandates",Expanded min age enforcement – Proactive Detection – expand to all tier1 signals,NO,YES,,,HIGH,Develop FoA U16 Model Protoptye,,Prastuti Singh,Allison Hartnett,Youth,"Score 5, matched keywords ['min', 'age', 'proactive', 'detection', 'expand'], goal_id 2A candidate 12"
P2 - Achieve a step-change reduction in Youth pressure,"2A - Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV mandates",Reporting – enable scaling proactive + SURF in prioritized geos,NO,NO,,,,,,,Allison Hartnett,Youth,
P2 - Achieve a step-change reduction in Youth pressure,"2A - Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV mandates","Enforcement Targets – increase proactive+reporting detection+checkpoint volume to 500k/yr IG & FB US (Guardrails: NVMI, Review FPR)",NO,YES,500k/yr,,HIGH,Underage proactive and reporting detection + checkpoint volume,,Zoe Guo,Allison Hartnett,Youth,"Score 6, matched keywords ['proactive', 'reporting', 'detection', 'checkpoint', 'volume', 'review'], goal_id 2A candidate 12"
P2 - Achieve a step-change reduction in Youth pressure,"2A - Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV mandates","New user signals – Day0-14/20 age assurance via hardlink, softmatch, 3P",NO,NO,,,,,,,Allison Hartnett,Youth,
P2 - Achieve a step-change reduction in Youth pressure,"2A - Strengthen age assurance practices and advocacy via improved age classification, minimum age detection, readiness for AV mandates",UK OSA – Resolve >xx% new adult users as O18,YES,YES,>xx%,,MEDIUM,Adult Classifier (U18) Teen recall,,Conor Frailey,Allison Hartnett,Youth,"Score 1, matched keywords ['adult'], goal_id 2A candidate 12 | Updated 2026-07-27 PM: Conor ETA 8/13"
P2 - Achieve a step-change reduction in Youth pressure,2B - Return to growth in Parental Alignment and continue reducing gap to YouTube,Launch Family Center App to beta (smoke test) with positive sentiment,NO,NO,,,,,,,Allison Hartnett,Youth,
P2 - Achieve a step-change reduction in Youth pressure,2B - Return to growth in Parental Alignment and continue reducing gap to YouTube,Sustain and expand teen safety – maintain 13+ experience for teens across Meta AI chats,NO,NO,,,,,,,Allison Hartnett,Youth,
P2 - Achieve a step-change reduction in Youth pressure,2B - Return to growth in Parental Alignment and continue reducing gap to YouTube,Content experience – IG/FB ≤2 AAPC exposures/hr,NO,YES,≤2 AAPC,,HIGH,Facebook AAPC Exposure per hour,,Andreas Ferstad,Allison Hartnett,Youth,"Score 2, matched keywords ['experience', 'aapc'], goal_id 2B candidate 10"
P2 - Achieve a step-change reduction in Youth pressure,2B - Return to growth in Parental Alignment and continue reducing gap to YouTube,Content experience – ≤2% PLP,NO,YES,≤2%,,HIGH,Facebook PLP 18+ %,,Andreas Ferstad,Allison Hartnett,Youth,"Score 2, matched keywords ['experience', 'plp'], goal_id 2B candidate 10"
P2 - Achieve a step-change reduction in Youth pressure,2B - Return to growth in Parental Alignment and continue reducing gap to YouTube,Full operational coverage AAC LoD framework FB/IG/AI,NO,NO,,,,,,,Allison Hartnett,Youth,
P2 - Achieve a step-change reduction in Youth pressure,2B - Return to growth in Parental Alignment and continue reducing gap to YouTube,"Scale CYS measurement to new modalities (text, video, images, voice, turn/conversational)",NO,NO,,,,,,,Allison Hartnett,Youth,
P2 - Achieve a step-change reduction in Youth pressure,2B - Return to growth in Parental Alignment and continue reducing gap to YouTube,Ship Teen Accounts for Vibes and MAI App,NO,NO,,,,,,,Allison Hartnett,Youth,
P2 - Achieve a step-change reduction in Youth pressure,2C - Reduce regulatory pressure by advocating effectively against social media bans and landing US federal legislation,Develop repeatable policy + product playbook for social media bans + India DPDP,NO,NO,,,,,,,Allison Hartnett,Youth,
P2 - Achieve a step-change reduction in Youth pressure,2C - Reduce regulatory pressure by advocating effectively against social media bans and landing US federal legislation,Support for 100% bills meeting trigger criteria,NO,YES,100%,,LOW,Product Support for Policy,,Tian Lan,Allison Hartnett,Youth,"Score 1, matched keywords ['support'], goal_id 2C candidate 3"
P2 - Achieve a step-change reduction in Youth pressure,2C - Reduce regulatory pressure by advocating effectively against social media bans and landing US federal legislation,Regulatory Acceptance of Multi-Layered Approach,NO,NO,,,,,,,Allison Hartnett,Youth,
P2 - Achieve a step-change reduction in Youth pressure,2D - Drive toward resolution of key TMH matters on terms consistent with principles,Provide support + deliver positions for TMH litigation pressure on 100% requests,NO,YES,100%,,HIGH,Support TMH Negotiations,,Jim Liu,TBD,Youth,"Score 4, matched keywords ['provide', 'support', 'tmh', 'litigation'], goal_id 2D candidate 1"
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),"Unblock Priority AI Roadmap – white-glove support for Meta agentic bets (Hatch, Confidential VM, Meta AI agentic)",NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),TBD Labs priority model launches,NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),"PAR and RL priority launches (personalization video/multimodal, wearables & ambient sensing)",NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),"Enable Internal AI launches by standing up new risk area (requirements, controls, implementation review, governance)",NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),Data Risk – MTC (MSL deletion/retention),NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),Data Risk – Cloud,NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),User Risk – Conversational AI,NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),User Risk – Non-invoker controls,NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),User Risk – Copyright,NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),User Risk – News,NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),"Monetization – Business AI bets (Meta business agent, Subscriptions skills)",NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),Monetization – MRS 1PD/3PD and organic/ads signal conversion cross-use,NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),Monetization – AI-generated advertising features,NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),Monetization – Shop Everything,NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),"RCP – All H2 AI model launch requirements completed, documented, evidenceable prior to launch",NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3A - Unblock Priority AI Roadmap Initiatives (white-glove support),RCP – Support all regulatory engagements for AI launches,NO,NO,,,,,,,Zef RosnBrick / Arash Nikkar / Kristen Durkin / Susan Cooper,AI Risk Data Risk Monetization RCP,
P3 - Unblock AI launches with informed Risk trade-offs,3B - Deliver timely well-calibrated AIR decisions,xx% white-glove product-critical decisions within SLA,YES,YES,xx%,,HIGH,AI Launch - Decision Speed - % AIR White-Glove Product Critical Decisions within SLA,,Jiaqi Guo,Zef RosnBrick,AI Risk,"Score 7, matched keywords ['white', 'glove', 'product', 'critical', 'decisions', 'within', 'sla'], goal_id 3B candidate 2"
P3 - Unblock AI launches with informed Risk trade-offs,3B - Deliver timely well-calibrated AIR decisions,No increase in L1+ decisions with high (residual) risk rate,NO,NO,,,,,,,Zef RosnBrick,AI Risk,
P3 - Unblock AI launches with informed Risk trade-offs,3C - Ship AI Governance trust & safety launch framework,Ship AI Governance trust & safety launch framework (metric TBD),NO,NO,,,,,,,Zef RosnBrick,AI Risk,
P4 - Transform our processes and Org for AI,4A - Scale Risk Review with high quality across all Areas,Missed Risk Rate maintained below 7%,NO,YES,7%,,MEDIUM,Agentic SIN Rate ratio,,Jonathan Zhao,Abhishek Gulati + Risk area leaders / Arash Nikkar Jackie Zajac Allison Hartnett Zef,User Risk Data Risk Monetization AI Risk Youth Risk Review,"Score 3, matched keywords ['missed', 'risk', 'rate'], goal_id 4A candidate 34"
P4 - Transform our processes and Org for AI,4A - Scale Risk Review with high quality across all Areas,xx% SINs under SLO,YES,YES,xx%,,LOW,In prep + in review wall-time,,Karen Krieb,Abhishek Gulati + Risk area leaders / Arash Nikkar Jackie Zajac Allison Hartnett Zef,User Risk Data Risk Monetization AI Risk Youth Risk Review,"Score 1, matched keywords ['sins'], goal_id 4A candidate 34"
P4 - Transform our processes and Org for AI,4A - Scale Risk Review with high quality across all Areas,Agentic Review Share increases to xx% (now confirmed 50% per Anastasia/Jeb 2026-07-27),YES,YES,xx% | 50%,,HIGH,Agentic Review Share,50%,Mateen Saifyan,Abhishek Gulati + Risk area leaders / Arash Nikkar Jackie Zajac Allison Hartnett Zef,User Risk Data Risk Monetization AI Risk Youth Risk Review,"Score 3, matched keywords ['agentic', 'review', 'share'], goal_id 4A candidate 34"
P4 - Transform our processes and Org for AI,4A - Scale Risk Review with high quality across all Areas,Every rollout meets pre-defined performance benchmarks,NO,NO,,,,,,,Abhishek Gulati + Risk area leaders / Arash Nikkar Jackie Zajac Allison Hartnett Zef,User Risk Data Risk Monetization AI Risk Youth Risk Review,
P4 - Transform our processes and Org for AI,4A - Scale Risk Review with high quality across all Areas,p90 Questions per Review maintained below yy%,YES,YES,yy%,,HIGH,Questions per Review (p90),,Melvin Smith Sam Bruce,Abhishek Gulati + Risk area leaders / Arash Nikkar Jackie Zajac Allison Hartnett Zef,User Risk Data Risk Monetization AI Risk Youth Risk Review,"Score 3, matched keywords ['p90', 'questions', 'review'], goal_id 4A candidate 34"
P4 - Transform our processes and Org for AI,4A - Scale Risk Review with high quality across all Areas,User cSAT increases by xx%,YES,YES,xx%,,NONE,,,,Abhishek Gulati + Risk area leaders / Arash Nikkar Jackie Zajac Allison Hartnett Zef,User Risk Data Risk Monetization AI Risk Youth Risk Review,"Score 0, matched keywords [], goal_id 4A candidate 34"
P4 - Transform our processes and Org for AI,4A - Scale Risk Review with high quality across all Areas,Zero Question Review Rate decreases by xx%,YES,YES,xx%,,HIGH,Zero Question Review Rate,,Melvin Smith Sam Bruce,Abhishek Gulati + Risk area leaders / Arash Nikkar Jackie Zajac Allison Hartnett Zef,User Risk Data Risk Monetization AI Risk Youth Risk Review,"Score 4, matched keywords ['zero', 'question', 'review', 'rate'], goal_id 4A candidate 34"
P4 - Transform our processes and Org for AI,4A - Scale Risk Review with high quality across all Areas,SIN Rate decreases by xx%,YES,YES,xx%,,MEDIUM,Unnecessary SIN rate [TBD],,Scott Murani,Abhishek Gulati + Risk area leaders / Arash Nikkar Jackie Zajac Allison Hartnett Zef,User Risk Data Risk Monetization AI Risk Youth Risk Review,"Score 2, matched keywords ['sin', 'rate'], goal_id 4A candidate 34"
P4 - Transform our processes and Org for AI,4A - Scale Risk Review with high quality across all Areas,Youth/Risk Review agents meet uptime SLA,NO,NO,,,,,,,Abhishek Gulati + Risk area leaders / Arash Nikkar Jackie Zajac Allison Hartnett Zef,User Risk Data Risk Monetization AI Risk Youth Risk Review,
P4 - Transform our processes and Org for AI,4A - Scale Risk Review with high quality across all Areas,No outage undetected >2 BD,NO,NO,,,,,,,Abhishek Gulati + Risk area leaders / Arash Nikkar Jackie Zajac Allison Hartnett Zef,User Risk Data Risk Monetization AI Risk Youth Risk Review,
P4 - Transform our processes and Org for AI,4A - Scale Risk Review with high quality across all Areas,L1 Rate reduced by xx%,YES,YES,xx%,,HIGH,L1 Rate reduced by xx% (AI Risk),,Connie / AI Risk,Abhishek Gulati + Risk area leaders / Arash Nikkar Jackie Zajac Allison Hartnett Zef,User Risk Data Risk Monetization AI Risk Youth Risk Review,"Score 2, matched keywords ['rate', 'reduced'], goal_id 4A candidate 34"
P4 - Transform our processes and Org for AI,4A - Scale Risk Review with high quality across all Areas,Youth AI agents deployed across all critical escalation phases with meaningful adoption 75%-100%,NO,YES,75% | 100%,,MEDIUM,Zero Question Review Rate,,Melvin Smith Sam Bruce,Abhishek Gulati + Risk area leaders / Arash Nikkar Jackie Zajac Allison Hartnett Zef,User Risk Data Risk Monetization AI Risk Youth Risk Review,"Score 2, matched keywords ['agents', 'all'], goal_id 4A candidate 34"
P4 - Transform our processes and Org for AI,4B - Ship AI-native requirements across all Risk Areas,"AI-native Requirements change loop proven – requirement change propagates automatically to at least 2 downstream use cases (Applicability, SIN, verification)",NO,NO,,,,,,,Nathan Davis,All Risk Areas,
P4 - Transform our processes and Org for AI,4B - Ship AI-native requirements across all Risk Areas,Closed feedback loop runs cyclically (Change → eval → fix requirement or distillation → redeployed),NO,NO,,,,,,,Nathan Davis,All Risk Areas,
P4 - Transform our processes and Org for AI,4C - Harden controls and scale platform to keep pace with agent growth,Double proactive interception rate for Agent-related privacy violations (includes SEVs),NO,NO,,,,,,,Arash Nikkar,GRC Agent Oversight Data Risk,
P4 - Transform our processes and Org for AI,4C - Harden controls and scale platform to keep pace with agent growth,Harden Controls for 90% Tier-1 requirements & known SEV patterns,NO,YES,90%,,MEDIUM,90% of T&C requirements covered by self-evidencing controls,,Liz Keneski,Arash Nikkar,GRC Agent Oversight Data Risk,"Score 2, matched keywords ['controls', 'requirements'], goal_id 4C candidate 16"
P4 - Transform our processes and Org for AI,4C - Harden controls and scale platform to keep pace with agent growth,Agentic workflows – Observability ≥90%,NO,YES,≥90%,,LOW,% controls agentic-ready,,"TBD (Baris Cem Sal, interim)",Arash Nikkar,GRC Agent Oversight Data Risk,"Score 1, matched keywords ['agentic'], goal_id 4C candidate 16"
P4 - Transform our processes and Org for AI,4C - Harden controls and scale platform to keep pace with agent growth,"Reduce top agent interventions (auth, sensitive data, ACL, tool/networking)",NO,NO,,,,,,,Arash Nikkar,GRC Agent Oversight Data Risk,
P4 - Transform our processes and Org for AI,4C - Harden controls and scale platform to keep pace with agent growth,"Diff/Phabricator workflows – improve precision AO actions (hook, diff, AURA, auto-mitigation)",NO,NO,,,,,,,Arash Nikkar,GRC Agent Oversight Data Risk,
P4 - Transform our processes and Org for AI,4C - Harden controls and scale platform to keep pace with agent growth,Orchestrate privacy signals in Phabricator,NO,NO,,,,,,,Arash Nikkar,GRC Agent Oversight Data Risk,
P4 - Transform our processes and Org for AI,4C - Harden controls and scale platform to keep pace with agent growth,"Reduce time/cost to maintain Controls, Safeguards, partner requests by 50%",NO,YES,50%,,HIGH,# eng days per month for these activities,,TBD,Arash Nikkar,GRC Agent Oversight Data Risk,"Score 5, matched keywords ['time', 'controls', 'safeguards', 'partner', 'requests'], goal_id 4C candidate 16"
P4 - Transform our processes and Org for AI,4C - Harden controls and scale platform to keep pace with agent growth,"Where possible create company value (e.g., increase iRev)",NO,NO,,,,,,,Arash Nikkar,GRC Agent Oversight Data Risk,
P4 - Transform our processes and Org for AI,4F - Standardize how AI-native pods operate across Risk with shared goals consistent infra clear expectations human oversight,Ensure critical AI systems – majority meet AI Fundamentals quality bar: xx% AI systems pass bar,YES,YES,xx%,,HIGH,Quality Bar Assessment,80%,Avi Varadarajulu,Arash Nikkar Stephanie Yee,Engineering / Analytics & Research,"Score 8, matched keywords ['critical', 'systems', 'fundamentals', 'quality', 'bar', 'systems', 'pass', 'bar'], goal_id 4F candidate 106 | Updated 2026-07-27 PM: Anthony confirmed 80% target"
P4 - Transform our processes and Org for AI,4F - Standardize how AI-native pods operate across Risk with shared goals consistent infra clear expectations human oversight,100% critical systems pass bar,NO,YES,100%,,HIGH,Quality Bar Assessment,80%,Avi Varadarajulu,Arash Nikkar Stephanie Yee,Engineering / Analytics & Research,"Score 4, matched keywords ['critical', 'systems', 'pass', 'bar'], goal_id 4F candidate 106 | Updated 2026-07-27 PM: Anthony confirmed 80% target"
P4 - Transform our processes and Org for AI,4F - Standardize how AI-native pods operate across Risk with shared goals consistent infra clear expectations human oversight,Eval Quality: All top-priority AI launches backed by rigorous evals,NO,NO,,,,,,,Arash Nikkar Stephanie Yee,Engineering / Analytics & Research,
P4 - Transform our processes and Org for AI,4F - Standardize how AI-native pods operate across Risk with shared goals consistent infra clear expectations human oversight,SMEs embedded in key pods,NO,NO,,,,,,,Arash Nikkar Stephanie Yee,Engineering / Analytics & Research,
P4 - Transform our processes and Org for AI,4F - Standardize how AI-native pods operate across Risk with shared goals consistent infra clear expectations human oversight,≥1 pod runs rigorous eval E2E using only CoE resources without direct coaching,NO,YES,≥1,,MEDIUM,"Cost-of-compliance (Direct costs, USD)",,"TBD (Baris Cem Sal, interim)",Arash Nikkar Stephanie Yee,Engineering / Analytics & Research,"Score 2, matched keywords ['pod', 'direct'], goal_id 4F candidate 106"
